"Three of these animals hibernate. Which one does not?","Mouse","Sloth","Frog","Snake","b"
"All of these animals are omnivorous except one.","Fox","Mouse","Opossum","Snail","d"
"Three of these Latin names are names of bears. Which is the odd one?","Melursus ursinus","Helarctos malayanus","Ursus minimus","Felis silvestris catus","d"
"These are typical Australian animals except one.","Platypus","Dingo","Echidna","Sloth","d"
"Representatives of three of these species produce venom of their own. Which is the odd species?","Lizards","Scorpions","Frogs","Mosquitos","d"
"Three of these species shed their skin. Which one does not?","Penguins","Snakes","Insects","Crustaceans","a"
"All of these animals have large ears (relative to their size) except one.","Polar bears","Foxes","Bats","Elephants","a"
"This percentage of all snakes on Earth are lethal to humans.","10%","20%","15%","25%","c"
"Snakes are this kind of animals.","Herbivorous","Omnivorous","Carnivorous","Vegetarian","c"
"Snakes consume their food by means of this process.","Breathing","Absorption","Swallowing","Chewing","c"
"Snakes belong to the following category.","Invertebrates","Lizards","Reptiles","Mammals","c"
"A specialist in snakes is called one of these.","Pisciculturist","Ornithologist","Ophiologist","Herpetologist","c"
"One of the following snakes does not belong to the Viperidae family.","Horned adder","Grass snake","Viper","Asp","b"
"Cobras are venomous snakes of family Elapidae, that generally inhabit regions of these two continents.","South America and Asia","Asia and Africa","Asia and Australia","South America and Australia","b"
"The cobras most recognizable feature is its hood, a flap of skin and muscle behind the head, believed to serve this purpose.","Balance control","Heat collection from sun rays","Camouflage","More threatening appearance","d"
"The Cobra is at the top of the food chain, with only two main predators -- one is man and the other is this animal.","Jackal","Mongoose","Lynx","Eagle","b"
"This is where the Cobras ribs are situated.","Behind its head","In its chest, around the middle of the body","Cobras have no ribs","In its tale","a"
"A baby cobra is fully able to defend itself in as little as this many hours after being born.","3","12","48","72","a"
"What type of dog did Richard Nixon receive from a Texan while he was a candidate for Vice President?","German Shepherd","Cocker Spaniel","Golden Retriever","Welsh Corgy","b"
"What was the name of Socks companion at the White House during the Clinton Administration?","Buddy","Shoes","Bailey","Buster","a"
"Which of these Presidents had the most pets?","Franklin Delano Roosevelt","Theodore Roosevelt","Bill Clinton","Woodrow Wilson","b"
"What breed is known as the favourite breed of Queen Elizabeth II?","Border Collie","Old English Sheepdog","Welsh Corgi","Australian Cattle Dog","c"
"What was the name of Fraisers fathers dog on the hit TV show set in Seattle?","Niles","Marty","Eddie","Skip","c"
"Which one of these sea mammals is not in the endangered species lists?","Fin Whale","Pilot whale","Blue Whale","Humpback Whale","b"
"This endangered turtle is the biggest of all living turtles, reaching a length of over 2.7 m (8.8 ft) and weight of 900 kg (2,000 lb).","Leatherback Sea Turtle","Kemps Ridley Turtle","Hawksbill Sea Turtle","Mesoamerican River Turtle","a"
"Name the rarest and most endangered of all wolves.","Red Wolf","Ethiopian Wolf","Black-backed Wolf","Gray Wolf","a"
"This species of great apes with long arms and reddish hair suffer habitat destruction due to logging, mining and forest fires.","Gorilla","Baboons","Orangutan","Chimpanzee","c"
"What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?","North America","Central Asia and North America","Central Asia","Europe and North America","c"
"This freshwater mammal, found only in the Yangtze River, is the most endangered (even possibly extinct) cetacean and one of the most endangered species in the world.","Ganges River Dolphin","Chinese River Dolphin","La Plata Dolphin","Amazon River Dolphin","b"
"This small nocturnal animal, whose natural habitat are the deserts of Northern Africa, is known to jump not only for hunting or protection, but also for pleasure.","Cape Fox","Red Fox","Bengal Fox","Fennec","d"
"Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?","North America","Australia","Africa","Asia","b"
