"Which of these best describes an array?","A data structure that shows a hierarchical behavior","Container of objects of similar types","Arrays are immutable once initialised","Array is not a data structure","b"
"How do you instantiate an array in Java?","int arr[] = new int(3);","int arr[];","int arr[] = new int[3];","int arr() = new int(3);","c"
"Which of the following is the correct way to declare a multidimensional array in Java?","int[] arr;","int arr[[]];","int[][]arr;","int[[]] arr;","c"
"What is the output of the following Java code?public class array{	{		System.out.println(arr[5]);	}}","4","5","ArrayIndexOutOfBoundsException","InavlidInputException","c"
"When does the ArrayIndexOutOfBoundsException occur?","Compile-time","Run-time","Not an error","Not an exception at all","b"
"Which of the following concepts make extensive use of arrays?","Binary trees","Scheduling of processes","Caching","Spatial locality","d"
"What are the advantages of arrays?","Objects of mixed data types can be stored","Elements in an array cannot be sorted","Index of first element of an array is 1","Easier to store elements of same data type","d"
"Process of removing an element from stack is called __________","Create","Push","Evaluation","Pop","d"
"Which of the following is not the application of stack?","A parentheses balancing program","Tracking of local variables at run time","Compiler Syntax Analyzer","Data Transfer between two asynchronous process","d"
"Consider the usual algorithm for determining whether a sequence of parentheses is balanced. The maximum number of parentheses that appear on the stack AT ANY ONE TIME when the algorithm analyzes: (()(())(()))?","1","2","3","4 or more","c"
"Consider the usual algorithm for determining whether a sequence of parentheses is balanced. Suppose that you run the algorithm on a sequence that contains 2 left parentheses and 3 right parentheses (in some order). The maximum number of parentheses that appear on the stack AT ANY ONE TIME during the computation?","1","2","3","4 or more","b"
"Here is an infix expression: 4 + 3*(6*3-12). Suppose that we are using the usual stack algorithm to convert the expression from infix to postfix notation. The maximum number of symbols that will appear on the stack AT ONE TIME during the conversion of this expression?","1","2","3","4","d"
"The data structure required to check whether an expression contains a balanced parenthesis is?","Stack","Queue","Array","Tree","a"
"What data structure would you mostly likely see in non recursive implementation of a recursive algorithm?","Linked List","Stack","Queue","Tree","b"
"The process of accessing data stored in a serial access memory is similar to manipulating data on a ________","Heap","Binary Tree","Array","Stack","d"
"The postfix form of A*B+C/D is?","*AB/CD+","AB*CD/+","A*BC+/D","ABCD+/*","b"
"Which data structure is needed to convert infix notation to postfix notation?","Branch","Tree","Queue","Stack","d"
"The prefix form of A-B/ (C * D ^ E) is?","-/*^ACBDE","-ABCD*^DE","-A/B*C^DE","-A/BC*^DE","c"
"Which data structure is used for implementing recursion?","Queue","Stack","Array","List","b"
"Which of the following statement(s) about stack data structure is/are NOT correct?","Linked List are used for implementing Stacks","Top of the Stack always contain the new node","Stack is the FIFO data structure","Null link is present in the last node at the bottom of the stack","c"
"Which of the following is not an inherent application of stack?","Reversing a string","Evaluation of postfix expression","Implementation of recursion","Job scheduling","d"
"The type of expression in which operator succeeds its operands is?","Infix Expression","Prefix Expression","Postfix Expression","Both Prefix and Postfix Expressions","c"
"The data structure required for Breadth First Traversal on a graph is?","Stack","Array","Queue","Tree","c"
"A queue follows __________","FIFO (First In First Out) principle","LIFO (Last In First Out) principle","Ordered array","Linear tree","a"
"Circular Queue is also known as ________","Ring Buffer","Square Buffer","Rectangle Buffer","Curve Buffer","a"
"A data structure in which elements can be inserted or deleted at/from both ends but not in the middle is?","Queue","Circular queue","Dequeue","Priority queue","c"
"Queues serve major role in ______________","Simulation of recursion","Simulation of arbitrary linked list","Simulation of limited resource allocation","Simulation of heap sort","c"
"Which of the following is not the type of queue?","Ordinary queue","Single ended queue","Circular queue","Priority queue","b"
"In linked list each node contains a minimum of two fields. One field is data field to store the data second field is?","Pointer to character","Pointer to integer","Pointer to node","Node","c"
"What would be the asymptotic time complexity to insert an element at the front of the linked list (head is known)?","O(1)","O(n)","O(n2)","O(n3)","a"
"What would be the asymptotic time complexity to find an element in the linked list?","O(1)","O(n)","O(n2)","O(n4)","b"
"What would be the asymptotic time complexity to insert an element at the second position in the linked list?","O(1)","O(n)","O(n2)","O(n3)","a"
"The concatenation of two lists can be performed in O(1) time. Which of the following variation of the linked list can be used?","Singly linked list","Doubly linked list","Circular doubly linked list","Array implementation of list","c"
"Consider the following definition in c programming language.struct node{}typedef struct node NODE;NODE *ptr;Which of the following c code is used to create new node?","ptr = (NODE*)malloc(sizeof(NODE));","ptr = (NODE*)malloc(NODE);","ptr = (NODE*)malloc(sizeof(NODE*));","ptr = (NODE)malloc(sizeof(NODE));","a"
"Linked lists are not suitable for the implementation of ___________","Insertion sort","Radix sort","Polynomial manipulation","Binary search","d"
"Linked list is considered as an example of ___________ type of memory allocation.","Dynamic","Static","Compile time","Heap","a"
"Linked list data structure offers considerable saving in _____________","Computational Time","Space Utilization","Space Utilization and Computational Time","Speed Utilization","c"
"Which of the following points is/are not true about Linked List data structure when it is compared with an array?","Arrays have better cache locality that can make them better in terms of performance","It is easy to insert and delete elements in Linked List","Random access is not allowed in a typical implementation of Linked Lists","Access of elements in linked list takes less time than compared to arrays","d"
"What does the following function do for a given Linked List with first node as head?void fun1(struct node* head){}","Prints all nodes of linked lists","Prints all nodes of linked list in reverse order","Prints alternate nodes of Linked List","Prints alternate nodes in reverse order","b"
"Which of the following sorting algorithms can be used to sort a random linked list with minimum time complexity?","Insertion Sort","Quick Sort","Heap Sort","Merge Sort","d"
"What is the time complexity of inserting at the end in dynamic arrays?","O(1)","O(n)","O(logn)","Either O(1) or O(n)","d"
"What is the time complexity to count the number of elements in the linked list?","O(1)","O(n)","O(logn)","O(n2)","b"
"What does the following function check for? (all necessary headers to be included and function is called from main)#define MAX 10{}stack;{}","full stack","invalid index","empty stack","infinite stack","c"
"What is the time complexity of pop() operation when the stack is implemented using an array?","O(1)","O(n)","O(logn)","O(nlogn)","a"
"Which of the following array position will be occupied by a new element being pushed for a stack of size N elements(capacity of stack > N)?","S[N-1] ","S[N] ","S[1] ","S[0] ","b"
"What happens when you pop from an empty stack while implementing using the Stack ADT in Java?","Undefined error","Compiler displays a warning","EmptyStackException is thrown","NoStackException is thrown","c"
"Which of the following array element will return the top-of-the-stack-element for a stack of size N elements(capacity of stack > N)?","S[N-1] ","S[N] ","S[N-2] ","S[N+1] ","a"
"Which of the following statements are not correct with respect to Singly Linked List(SLL) and Doubly Linked List(DLL)?","Complexity of Insertion and Deletion at known position is O(n) in SLL and O(1) in DLL","SLL uses lesser memory per node than DLL","DLL has more searching power than SLL","Number of node fields in SLL is more than DLL","d"
"Which of the following data structures can be used for parentheses matching?","n-ary tree","queue","priority queue","stack","d"
"Minimum number of queues to implement stack is ___________","3","4","1","2","c"
"What is the time complexity of enqueue operation?","O(logn)","O(nlogn)","O(n)","O(1)","d"
"What does the following Java code do?public Object function(){	{		Object high;	}}","Dequeue","Enqueue","Return the front element","Return the last element","c"
"What is the need for a circular queue?","effective usage of memory","easier computations","to delete elements based on priority","implement LIFO principle in queues","a"
"The essential condition which is checked before insertion in a linked queue is?","Underflow","Overflow","Front value","Rear value","b"
"The essential condition which is checked before deletion in a linked queue is?","Underflow","Overflow","Front value","Rear value","a"
"Which of the following is not an application of priority queue?","Huffman codes","Interrupt handling in operating system","Undo operation in text editors","Bayesian spam filter","c"
"Which of the following is not an advantage of a priority queue?","Easy to implement","Processes with different priority can be efficiently handled","Applications with differing requirements","Easy to delete elements in any case","d"
"What is the time complexity to insert a node based on position in a priority queue?","O(nlogn)","O(logn)","O(n)","O(n2)","c"
"Consider you have an array of some random size. You need to perform dequeue operation. You can perform it using stack operation (push and pop) or using queue operations itself (enQueue and Dequeue). The output is guaranteed to be same. Find some differences?","They will have different time complexities","The memory used will not be different","There are chances that output might be different","No differences","a"
"Why is implementation of stack operations on queues not feasible for a large dataset (Asssume the number of elements in the stack to be n)?","Because of its time complexity O(n)","Because of its time complexity O(log(n))","Extra memory is not required","There are no problems","a"
"Consider yourself to be in a planet where the computational power of chips to be slow. You have an array of size 10.You want to perform enqueue some element into this array. But you can perform only push and pop operations .Push and pop operation both take 1 sec respectively. The total time required to perform enQueue operation is?","20","40","42","43","d"
"Given only a single array of size 10 and no other memory is available. Which of the following operation is not feasible to implement (Given only push and pop operation)?","Push","Pop","Enqueue","Returntop","c"
"How many passes does the evaluation of infix expression algorithm makes through the input?","One","Two","Three","Four","a"
"Identify the infix expression from the list of options given below.","a/b+(c-d)","abc*+d+ab+cd+*ce-f-","ab-c-","+ab","a"
"Evaluate the following statement using infix evaluation algorithm and choose the correct answer. 1+2*3-2","3","6","5","4","c"
"Evaluate the following statement using infix evaluation algorithm and choose the correct answer. 4*2+3-5/5","10","11","16","12","a"
"How many types of input characters are accepted by this algorithm?","one","two","three","four","c"
"What determines the order of evaluation of a prefix expression?","precedence and associativity","precedence only","associativity only","depends on the parser","a"
"Find the output of the following prefix expression*+2-2 1/-4 2+-5 3 1","2","12","10","4","a"
"Which of the following is an example for a postfix expression?","a*b(c+d)","abc*+de-+","+ab","a+b-c","b"
"What is the time complexity of evaluation of postfix expression algorithm?","O (N)","O (N log N)","O (N2)","O (M log N)","a"
